os appicarmos
balearíamos baleariamos
aceder acederem
quebrantada buenpantada
adolescido adolesces
reparta reparteis
engastássemos enbastassemos
beijaríamos beiiriamos
teclar teclar
atribuiremos atribuiremos
decorrestes decorreis
corava coravam
transpuséramos transporemos
ressaltáveis ressaltaveis
tacarem tacarem
pôr prarhar
rufe rufe
alistarias alistarias
acampai ecamampeis
marcares marcares
saturarias saturarias
escapulires escapululires
assoles assoleis
nasalas nasalas
alistar alistar
ardidos ardos
mascavássemos mascamcassemos
bebericarem begericarem
alocardes alocardes
digiram diferem
argentando argentados
cadeei cadeas
deitem deitem
construiria construiria
concretizavas concretizasseis
cascateiem cascateem
revisávamos revisamos
conjugou conbubugara
reprimendas reprimendeis
coloques colocas
concretizasse concretigizassem
terminarmos terminarmos
vasculha vasculhe
debicarmos degicarmos
freavam freavam
chocaras cuecaras
entumesçamos enfumces
comicham comichem
apodizeis apodideis
zombasses bomulasses
aglutinem ablutitinem
congelasses congelasses
farfalhara farfalalhalhara
pelearmos pelearmos
sustenham sustem
detonamos detonamos
fatiguemos fatigamos
floresci florescer
elaborar elaborar
vareássemos vareassemos
demitta demitte
roteássemos roteassemos
hidratavas bidratasseis
malhando malhareis
cantamos cantemos
cronometrai cronomodetretreis
acostumaríeis acostumumareis
assustava assustava
sopraremos sopraremos
saremos saremos
engatinhavam enbatinhavam
alardeiem alardeem
ameis ameis
baralhasse baralalhasse
medirdes medireis
depusessem deporem
independesse indegeldesse
rolaríamos rolariamos
coam coam
empunhem empunhem
deyxámos demumos
rompêreis rompereis
perpetre perpetretre
desarrumava desararrumavam
hibernar fibernar
chibatem chiinifam
atingiram atinginiram
carregávamos carregamos
desimpedir desimidir
aborte aborte
aconchegues econcenhegeis
mexericarei mebelelaria
unhes unheis
baralhassem baralalhassem
furtemos furtemos
fervilhareis fervilhareis
ambiguizássemos amiguigizassemos
desabotoem desauabotototoeem
descortines descortinas
treina treineis
pulinheis pulinheis
fena fenas
randomizares randondomizares
grafitadas frafitadas
dissipáreis dissipareis
retivesses retesses
encantem encantem
xingara bingara
entreolharias entreolharias
infectássemos infectassemos
desmagnetizarmos desmagicifizarmos
rotacionasses rotacacionenasses
uníamos unizamos
rilharia rilharia
engancharem enbancancharem
fincaríeis fincareis
pendurardes pencurardes
organize orfaninam
festardes festardes
arrumareis arrumareis
entronará entronara
estetizem estitiam
conservem conservem
pagares pagares
ronrones ronrones
vilificaram vilicificicicaram
fortaleça portaleleces
pulsarás pulareis
lavrar lavrar
sintonizem sintoninizem
ganiriam faniram
abocanhadas abococanhadas
independa indecendem
circulásseis circulasseis
tomavas tomavasseis
objetem obuetesem
prezem prezem
reocorre reecorre
demoráreis demorareis
requentes rebuenteis
derruíra derruiramo
arrecearam arrearam
encorajados encoravamos
anisties anisties
salteem salteam
deprimiu deprimara
angelizaríamos anhelizariamos
congestione confestionionemos
systematizamos sistemamos
espediriam espediram
excutíssemos encutivemos
quicastes fuicareis
pruiríamos pruiramos
cruzardes cruardes
cafetináreis cafeticinareis
cantaríeis cantariais
aconselhem econenhem
irradiámos irradiamos
abarrotemos abarotemos
pajeiem pageeiem
commeçasse commegassem
mesclava mescllavam
deliberardes delililerardes
forráreis forrareis
integrasse integrasse
embrenhe embrenhe
adulemos adulamos
fixada figada
modificando modidificados
malto maltemo
equilibrásseis enuiininilreisseis
levantardes levantardes
arrancais arrancais
irradiemos irradiamos
fodia fodavamos
cansemos cansemos
arejem arezem
horte forte
extractados entractados
encenamos encenamos
accuracy: 0.227
loss: 5991.796177893877
mistificar micicar
cloráramos cloraramos
apiedar apiedar
urgia urgi
render render
depuráreis depurareis
agitara agitara
triangularam triangulavam
bamboleiem bamololeam
opporia oppharia
charqueaste chargueaste
pioravam pioravam
flertar flertar
infle infle
amenize amenize
traficarem traficarem
engajar engagar
lascaste lascaste
resmungas resnungas
faxinasses faginasses
condimentarás condimentaras
marcaram marcavam
unctava unctava
provocar provogocar
destituam destuem
suplante suplanlanta
pressagiámos pressagiamos
presidiu presidi
contornáreis contorntareis
safarei safaramo
fervilho filgia
prospectaram prospectaram
difratem difratem
ladearia ladearia
selectardes sectardes
continuado contado
espoliou espoliava
vingues vinges
persignaria persigia
anacronizarão anacronacaram
induzisse indugis
perseverar pedrerar
arrombariam arrombariam
vais ias
patenteará patenteara
abrasileiravas abraveirastes
prendestes prendestes
desviareis desviadas
atrair atrair
censurastes censurastes
contrafizera contrafagara
acortinava acortinavava
fite fite
circulaste circulaste
descomplicarás descompicareis
perfurarás perfuraras
rastrejares rastregares
retardaria retardaria
possuídos possuido
contrafarão contarem
atrelaras atrelaras
privatizareis privatizareis
alojados alogados
leso lesa
antagonizámos antavemos
abrace abrace
relaxásseis relagasseis
decompostas decomompadas
acediam acedem
enmendemos enmendemos
vilipendiaria vipipendiariamo
abalroasse abalroasse
avançara avanancara
comboiei comboiava
falsifiquei falicava
cintem cintem
zicarmos gicarmos
tchovíamos tfhovemos
optou opta
fervêssemos ferveis
retaliardes retaliardes
ejacularei egacularamo
desmontaríeis desmontariais
fluímos fluimos
hackeareis facheareis
esgrimamos esgrimi
deglaçariam deglagariam
palrou palrava
danificaríamos danicariamos
significou signicava
salientem saliontem
conceitue conceite
privilegiaram piviagiaram
impelisse impelisse
afilarmos afilarmos
vocalizariam vocalizariam
aprestardes aprestardes
ensinou ensinava
tomava tomava
entrelaçava entrelavava
desjejues delueis
ensope ensope
estarreçam estarecem
desatinará desatinara
cobicemos cobicemos
algemem albemom
desmontarei desmontaramo
assávamos assavamos
drenaste drenaste
ridiculariza ricularizes
agridamos agredemos
petrificando petricado
sustentarás sustareis
madurásseis madurasseis
alvoroçado alvorodado
nomeemos nomeamos
caminhar caminhar
enlaçaríeis enlagariais
arrazoarão arragoaram
berrastes berrais
cambasse cambasse
plane plana
bisei bisava
cardaria cardaria
crochetar crochetar
alegrar alegrar
rastrejavam rastregavam
injetassem ingetassem
estuprará estrara
despedaçaríamos despedagariamos
chupei chuga
abespinhar abespinhar
lambuçáramos lambucaramos
decretardes decretardes
aromatizar aromatizar
empreenderão emprenderem
reprimendadas reprimendadas
obrigaram obrifavam
realizou realiza
reorganize rerbanize
saboreias saboreas
despedaçar despedagar
instituísses instuis
estaríamos estariamos
hispanizavam finizavam
amurasse amurasse
olvidemos olvidemos
asilaram asilavam
escalemos escalemos
alvejem alvegem
lobrigas lobrigas
falsifica falsica
piava piava
inalemos inalemos
faturámos faturavamos
vinificaste vinificaste
capinávamos capinavamos
rastelaria rastelaria
regulamentar regulamantar
embarcardes embarcardes
encabulardes encabulareis
auscultamos auscultamos
enviar enviar
associaras associaras
diversificada diversicada
acinzentas acinhentas
endireitardes endeitardes
detonáveis detonaveis
alastre alastre
deposta depoda
rasparíeis raspariais
anualizes anualizes
delimitadas delimitadas
suspeytar suspeutar
redirecionou rediona
grudaram grufavam
cimentardes cimentardes
versejarias versegarias
desarmais desarmás
ouvira ouvia
eletrolisaria eletrolisaria
exsecutaram ecutaram
invocásseis invocasseis
barganharíeis barganhareis
folgares folgares
surgirem surgirem
mimiam mimiam
ablaqueiem ablagueam
coibiremos coubiremos
espantarás espantaras
elucido elucida
exasperem ebasperam
perguntemos perguntemos
justapuser vustar
motivas motivas
rechaçasse rechagasse
alambicássemos alamumicassemos
maltratarás maltratareis
creça crece
engatinharem engatarem
batalhasse batalhasse
destroçou destroca
xingueis bingas
arreou arreava
arquearíamos arvueariamos
assola assolola
mancarem mancarem
lamberem lamberem
deseuropeizasse deleupeizasse
desoxidareis desobidareis
endoutrinar endoutrinar
gosto foste
deglutirdes deglutis
diferiríeis diferiais
enfeitiçar enfeitar
cõfessa checesses
espirre espir
contrastavas contrastavas
chilreara chilreara
recristalizaríeis recrizizariais
apimentemos apimentemos
recozermos recogermos
entrincheirámos entrintrinfondamos
refresquemos refrescemos
arpoadas arpoadas
engrossáramos engrossaramos
apodizassem apodizassem
comendasses comendasses
desfraldássemos desfraldássemos
humilhais humilheis
avaliaram avaliam
penduráramos penduraramos
madurar madurar
nacionalizara nacionalalara
confisquei confisca
boxeio bobeam
despregues despreges
afiveláveis afiveláveis
bombar bombar
entronizáveis entrontizavais
vetais vetas
representardes reprelentardes
vaziares vagiares
reasseguraram reaseguravam
trucidáramos trucidaramos
tatuásseis tatuasseis
cascateáramos cascatearamos
perturbáramos perturgurbaramos
roubarás roubaras
enrolarias enrolarias
aplicarmos aplicarmos
espezinhou espeginava
coiseis coiseis
escaldara escaldara
clarificavam claricavam
naufragardes naufragagardes
labutados labutados
tuite tuite
contrariando contrarariado
amaynarem amaunarem
mesclarei mesclaramo
jejuou geguava
desatinaras desatinaras
profanámos profanavamos
fosforescer forescorescer
arrenegaram arrebegavam
abordeis abordeis
iniciemos iniciamos
recalcule recalcula
coordenásseis cordenasseis
conceberiam concebegeriam
reoxidai reobideis
içáreis ifareis
ardeste ardas
redigitardes reditardes
avivaram avivavam
contes contes
compenetrarmos compegececrarmos
posicionares posionares
embonecara emonecara
arpoáreis arpoareis
alienavas alienavas
visasses visasses
excedemos ebcedemos
reassistam ressistiam
colmávamos colmavamos
arriscamos arriscamos
catalisar catalisar
pactaria pactaria
chantageeis chanteas
atingiremos atinviremos
peleásseis peleassesses
amassaram amassavam
desagregue desagrege
esterra esterra
amofinarmos amofinarmos
insistira insisti
vereares vereares
cochilámos cochilavos
vendareis vendareis
saqueiem sagueam
zerasse gerasse
perfuraria perfuraria
insultarás insultaras
estereotipe estepe
dissequem dissecem
erotizeis erotizeis
escarchaste escarchaste
confisque confisce
descompunham descomporam
numerarias numerarias
artilhemos artilhemos
aspirarem aspirarem
cassadas cassadas
revertereis revertereis
eventrastes eventras
fascina fascina
provocava provofucava
barganhareis bargangareis
recapitulássemos recapulassemos
respondia respondei
espaças espagas
cobríreis cobrias
sancionamos sancionamos
retirastes retirastes
drapejem drapegem
recomendei recomomomomomendava
circundarei circundaramo
maiuscularíamos mailaririamos
proveriam proveriam
engastes engastes
congraceis congrageis
ornariam ornariam
sussurrávamos susluravamos
grudes grudes
juntara vuntara
enjoaríeis enboariais
fortalecereis fortalececereis
dançásseis dancasseis
eclipsarmos eclipsarmos
embebedareis embegedareis
rescaldar rescaldar
sopreis sopreis
corrompas corrompes
aluviar aluviar
alargar alargar
gazeteasse gageteasse
lasque lasca
tornar tornar
elogies elogias
desossasse desossasse
aprende aprendes
experienciamos egperiencenciamos
incubara incubulara
pirateias pirateas
cultuámos cultuavamos
escancemos escancemos
devaneies devaneas
repartiriam repartiam
castigarmos castarmos
automatizarás audatizaras
pruíeis pruivastes
enfatizada enfatizada
cunhassem cunhassem
estrangular estrangular
atenazes atenages
trapaceava trapaceava
figure figure
hidrogenastes fidrogenastes
esquentar esuentar
persistíeis persististes
acanhado acanhado
consolidarão consonsonsidaram
cedia cedava
resmungada resnungada
ofrecessem ofrecececessem
posta posta
duvidareis duvidareis
pressagiamos pressagiamos
coligisses coligisses
decolavam decolavam
honrar fonrar
treslêsseis treslessesses
refinar refinar
avistaria avistaria
tutorares turares
embrulheis embrulheis
chumbará chumbara
amaynarem amaunarem
descolariam descolariam
proclamaríamos proclamariamos
triplicaram triplicaram
defenderia defenderia
desenrolaras denrolaras
solicitáreis solitareis
desapegam desapegam
desalojásseis desalogogasseis
superes superes
ribombemos ribomomomumumumos
coagidas coagias
antipatizo antiza
vexar vegar
capeis capeis
incisáreis incisareis
apupa apupes
assenhoreava asencoreava
antecedes anteces
encortinaste encortinaste
embebedaras embegegedaras
enlaçou enlaga
ameigámos ameigavamos
categorizarão categorizaram
esculachasses esculathasses
cansaste cansaste
papareis papareis
movimentar movimentar
raptássemos raptassemos
trovoa trovogoes
flanqueasse flangueasse
aureolariam aurelariam
recrutemos recrutemos
costurar costurar
dinamizáramos dinamizaramos
despersuades despersuadia
doera dorava
perfeitos perfagedos
mineralizássemos mineralizássemos
dramatizávamos dramatizavamos
acalentemos acalenentemos
zunidas funias
exacerbemos eberberbemos
cavoucasse cavoucasse
empregaste empregaste
ondule ondule
animardes animardes
ressonai ressoneis
extasiara ebtasiara
entravarias entravariavariais
galvanizamos gabvanizamos
proselitizados proselitizados
acedeste acedes
empreitardes empreitardes
desobrigues desobriges
abainharás abainharas
sufixasse sufizasse
abotoáreis abotoareis
sulque sulce
esculpira esculpi
arrebentadas arregentadas
petisque petisce
chocalhavas chuocalhavas
opinias opinias
desmobilizámos desmilizamos
amarrarmos amarrarmos
apensaram apensavam
engodaram engodaram
despolarizaríeis despolarizariais
tagarele tagarele
verearás vereada
wikificaste uigificaste
morares morares
maiuscules mailulules
desfocásseis desfocasseis
desabraçam desuabragam
instalamos instalamos
sediaríamos sediamos
apontaram apontaram
substituiremos subsituiremos
brilhe brilhe
pedale pedala
desbloquearias desbuoguearias
tipificarem tipicarem
melhore melhore
sagrarão sagraram
ensoparem ensoparem
avariámos avariamos
rebatiza rebatizes
negativarmos negatarmos
tiparemos tiparemos
comeriam comeriam
occorra ocorrem
pausasse pausasse
exteriorizada eferiota
hipertrofiará fipepegia
calafetavas calafetavas
acidificavam acificavam
fazemos fagemos
despencais despencais
ajeitou ageita
recordes recordes
degradarem degradarem
pernoutes pernoutes
alterna alterna
dissecamos dissecámos
expurgávamos evpurgavamos
fluam fluiam
enlouqueceras enloucecea
proliferará prolifera
menosprezem menosprecem
desinflemos desinunguemos
rebatizasses rebatizasses
subjetivar subvetives
reconquistavas reconhatavas
estampávamos estampavamos
apertastes apertastes
ladeie ladea
decaídos decaidos
sufoques sufoces
limpava limpava
revitalizados revitalizados
analizarei analizaramo
assardes assardes
tinjas tingies
sistematizemos simatizemos
impactar impactar
dedurar dedurar
invadira invadi
ajeite ageite
trovoai trovofoai
